src,tgt,complexity_score,quality_score,tagalog_complexity,is_augmented,uses_calamancy
So mukhang ipupush talaga ng ABS - CBN ang limited episode and seasonal line up next year ha . New era of PH Television habit na talaga .,so mukhang ipupush talaga ng abs - cbn ang limited episode and seasonal line up next year ha . new era of ph television habit na talaga .,22.9,0.9,5.0,False,True
BAKA NAMAN SI JAYZ AND DRAKE KUMOTA NA DIN DI BA HAHAHAHA EVERY YEAR UNG DALAWANG UN HAHAHAHAHAHAHAHAHA,baka naman si jayz and drake kumota na din di ba hahahaha every year ung dalawang un hahahahahahahahaha .,19.9,0.6,5.0,False,True
"Alam ko nga matagal na syang kinukuha nyan , siguro ngayon nga lang sya pumayag dahil confident at di na mahigpit yng mgt nya . Syempre may image din naman dati na LL . Atsaka di ba problem nya din dati built nya .","alam ko nga matagal na syang kinukuha nyan , siguro ngayon nga lang siya pumayag dahil confident at di na mahigpit yng mgt nya . syempre may image din naman dati na ll . atsaka di ba problem nya din dati built nya .",27.7,0.8,5.0,False,True
Ang TL ko nakakaloka . Bedscene . Calendar Girl mixed with football and basketball plus Phil politics . Pati ako nahihilo . 😳,ang tl ko nakakaloka . bedscene . calendar girl mixed with football and basketball plus phil politics . pati ako nahihilo .,21.4,0.9,5.0,False,True
Di ba ? Kudos talaga sa management at sa buong team ng BGYO BGYO GELO CONCEPT ART # BGYOkundiman # BGYO @bgyo_ph,di ba ? kudos talaga sa management at sa buong team ng bgyo bgyo gelo concept art .,22.35,0.7,5.5,False,True
Di ba nag open up si Anji ky Kyle .. unlike nung una na sobrang dala ng bugso ng damdamin at sa ayaw nya may masabi si TJ .,di ba nag open up si anji ky nung una na sobrang dala ng bugso ng damdamin at sa ayaw nya may masabi si tj .,25.7,0.9,6.0,False,True
Ang talino at ang galing ng nakaisip ng ganitong concept . Originally Filipino talaga . BGYO GELO CONCEPT ART # BGYOkundiman # BGYO @bgyo_ph,ang talino at ang galing ng nakaisip ng ganitong concept . originally filipino talaga . bgyo gelo concept art .,24.2,0.9,6.0,False,True
"inaupdate lang kita beh baka kasi sa susunod alam mo na , hindi pa rin ako player pero at least updated ka beh di ba say uwu nga kung agree ka 🥺 🥺 🥺 🥺 🥺 🥺","inaupdate lang kita beh baka kasi sa susunod alam mo na , hindi pa rin ako player pero at least updated ka beh di ba say uwu nga kung agree ka .",28.1,0.9,6.0,False,True
y’all r lucky I don’t have a capture card for my switch y’all do not wanna watch me play xenoblade I promise,yall are lucky i dont have a capture card for my switch yall do not wanna watch me play xenoblade i promise .,23.6,0.9,6.0,False,True
Ang talino at ang gali ng nakaisip ng ganitong concept . Originally Filipino talaga . BGYO GELO CONCEPT ART # BGYOkundiman # BGYO @bgyo_ph,ang talino at ang galing ng nakaisip ng ganitong concept . originally filipino talaga . bgyo gelo concept art .,24.2,0.9,6.0,True,True
"Doug Jones , who had 62 saves in two seasons with the Astros , died from complications with COVID-19 , according to former Astros and Indians teammate Greg Swindell . chron.com/sports/astros/arti …","doug jones , who had 62 saves in two seasons with the astros , died from complications with covid-19 , according to former astros and indians teammate greg swindell .",27.85,0.8,6.5,False,True
"yung special request , dinalawa ngayong linggo . nakakaloka , di pa pinagsabay . di ba talaga makakapagwait yan ng weekend ?","yung special request , dinalawa ngayong linggo . nakakaloka , di pa pinagsabay . di ba talaga makakapagwait yan ng weekend ?",26.1,0.9,7.0,False,True
Inaabsorb ko pa nga pagiging calendar girl ni Bea . Hahahhaaha,inaabsorb ko pa nga pagiging calendar girl ni bea . hahahhaaha .,24.05,0.8,7.5,False,True
Okay naman siya ha . Hindi cheap ang dating . Parang mga swimsuit lang naman na very sexy . Saka ganda niya ha . Blooming . Ganda pa ng shape . She needs to grow up already . Tanda na niya noh . Di na bagay pasweet . Saka mganda naman mga kuha . Masasanay ka din .,okay naman siya ha . hindi cheap ang dating . parang mga swimsuit lang naman na very sexy . saka ganda niya ha . blooming . ganda pa ng shape . she needs to grow up already . tanda na niya noh . di na bagay pasweet . saka mganda naman mga kuha . masasanay ka din .,38.15,0.9,7.5,False,True
Okay naman siya ha . Hindi cheap ang dati . Parang mga swimsuit lang naman na very sexy . Saka ganda niya ha . Blooming . Ganda pa ng shape . She needs to grow up already . Tanda na niya noh . Di na bagay pasweet . Saka mganda naman mga kuha . Masasanay ka din .,okay naman siya ha . hindi cheap ang dating . parang mga swimsuit lang naman na very sexy . saka ganda niya ha . blooming . ganda pa ng shape . she needs to grow up already . tanda na niya noh . di na bagay pasweet . saka mganda naman mga kuha . masasanay ka din .,38.15,0.9,7.5,True,True
"Kasi if it  s not legit , the mere mention of St Luke  s as the testing center , St Luke  s could have reacted right away , di ba ? But so far , wala namang ganoon ... DESPERADA lang ba talaga sila na mapatalsik si BBM 🤦 🤦 🤦","kasi if it  s not legit , the mere mention of st luke  s as the testing center , st luke  s could have reacted right away , di ba ? but so far , wala namang lang ba talaga sila na mapatalsik si bbm .",36.05,0.8,7.5,False,True
D ko malaman kung bobo si grannys o ano ? Lakas mo lakas mong mambwiset 😂 D naman na kame nageexpect sayo pero POTANGNAMO TALAGA,d ko malaman kung bobo si grannys o ano ? lakas mo lakas mong mambwiset d naman na kame nageexpect sayo pero potangnamo talaga .,28.25,0.8,7.5,False,True
"Kasi if it  s not legit , the mere mention of St Luke  s as the testi center , St Luke  s could have reacted right away , di ba ? But so far , wala namang ganoon ... DESPERADA lang ba talaga sila na mapatalsik si BBM 🤦 🤦 🤦","kasi if it  s not legit , the mere mention of st luke  s as the testing center , st luke  s could have reacted right away , di ba ? but so far , wala namang lang ba talaga sila na mapatalsik si bbm .",36.05,0.8,7.5,True,True
