id,text,preprocessed_text
1463223626317004801,Di ba they tried it before Sineserye ata yun at Komiks pero di gaanobg kibagat kasi 2 months na yung pinakamatagal?,di'ba they tried it before sineserye ata yun at komiks pero di gaanobg kibagat kasi to months na yung pinakamatagal?
1463222735451000834,"yung special request, dinalawa ngayong linggo. nakakaloka, di pa pinagsabay. di ba talaga makakapagwait yan ng weekend?","yung special request, dinalawa ngayong linggo. nakakaloka, di pa pinagsabay. di'ba talaga makakapagwait yan ng weekend?"
1463180516023144457,Wag kayo seryoso talaga ang ate Sheng😅 @SB19Official #SB19 #Bazinga_SB19,wag kayo seryoso talaga ang ate sheng.
1463235710136238081,Hahaha... @_Nahleng_ ohhh Di ba.. Beke nemen..😂,hahaha. ohhh di'ba.. beke nemen.
1463081087941623808,Oh di ba kakaopen ko lang ng Twitter ulet may na mine na ko agad 😩😩,oh di'ba kakaopen ko lang ng ulet may na mine na ko agad.
1463083245604458496,ang daming bata sa mall tapos yung iba di pa nakafacemask??? di ba natatakot mga magulang nun,ang daming bata sa mall tapos yung iba di pa nakafacemask? di'ba natatakot mga magulang nun.
1463084328540270592,totoo yan kahit dito din malapit samin daming bata tapos yung iba walang facemask,totoo yan kahit dito din malapit samin daming bata tapos yung iba walang facemask.
1463085313367019521,parang mas nagwoworry pa ako sa kanila kesa sa mga magulang nila juskooo,parang mas nagwoworry pa ako sa kanila kesa sa mga magulang nila juskooo.
1463079837107908608,may bago akong pusa tulungan nyo ako ano ipapangalan ko,may bago akong pusa tulungan nyo ako ano ipapangalan ko.
1463080036890656776,bimby na lang,bimby na lang.
1463080688278990848,bimby parang pilay na kuting,bimby parang pilay na kuting.
1463080857137139714,????? DI BA PWEDENG ANAK NI KRIS, di'ba pwedeng anak ni kris.
1463080489485365248,finally found binder sleeves that is suitable for the carat kit binder and kasya yung non standard size pcs tapos 200 slots pa since back to back siya and affordable oh di ba pwede na ako endorser hahahaha,finally found binder sleeves that is suitable for the carat kit binder and kasya yung non standard size pcs tapos 200 slots pa since back to back siya and affordable oh di'ba pwede na ako endorser hahahaha.
1463197801316192256,"gaga ka Brenda, ikay na fall ni Eian, maong niingon kang pa fall siya. HAHAHA loslos nimo bayota ka. Himu nasad kag issue","gaga ka brenda, ikay na fall ni eian, maong niingon kang pa fall siya. hahaha loslos nimo bayota ka. himu nasad kag issue."
1463235202952667142,Di ba bwesit kaayo sya hahahaha giatay kolera kaayong dako murag gwapa feel jud nya patulan siyang eian. Dako jud kaayo siyag kasuko kang alexa🤣,di'ba bwesit kaayo siya hahahaha giatay kolera kaayong dako murag gwapa feel jud nya patulan siyang eian. dako jud kaayo siyag kasuko kang alexa.
1463210087099502592,Parang may lamay sa grammy eh noh antamlay magsalita di ba kayo naka kaen,parang may lamay sa grammy eh noh antamlay magsalita di'ba kayo naka kaen.
1463539247747579908,Lady how do you listen to that and think she sounds appealing in any way?,lady how do you listen to that and think she sounds appealing in any way?
1463143614385569810,Happy for u mga burikats sana hnd kau tulad ng spaces beks na magpaparinigan sa twitter after meetup hahahaha. Labyu shurikats!,happy for ikaw mga burikats sana hnd kau tulad ng spaces beks na magpaparinigan sa after meetup hahahaha. labyu shurikats!
1463144574742790145,Sa mahal na laps pag anjan si Jannie. Sure na. Bet na bet ni bakla butasan ng bulsa,sa mahal na laps pag anjan si jannie. sure na. bet na bet ni bakla butasan ng bulsa.
1463209493752283138,Ako nga yung kuripot di ba hahaha,ako nga yung kuripot di'ba hahaha.
1463230028200611840,IKAW ANG HUDAS! MISTRESS KA LANG- MANG AAGAW NG ASAWA!! Sino si RONNIE SABA DAYAN? DRIVER MO DI BA?,ikaw ang hudas! mistress ka lang- mang aagaw ng asawa!! sino si ronnie saba dayan? driver mo di'ba?
1463082996605485058,di ba looped in? o parroting lang kasi epal silang pamilya,di'ba looped in? o parroting lang kasi epal silang pamilya.
1463233579895328772,di ba pwede sabihin kay sir na nilindol yung lote kaya di ako makagawa ng floor plan,di'ba pwede sabihin kay sir na nilindol yung lote kaya di ako makagawa ng floor plan.
1462742511185661952,The audacity of this guy! Commercial sa ABS-CBN?!,the audacity of this guy! commercial sa abs-cbn?!
1463082686587674632,"So, doesn't ABS CBN have a choice? Di ba discretionary yan kung tatanggapin o hindi dahil private company naman?","so, doesn't abs cbn have a choice? di'ba discretionary yan kung tatanggapin o hindi dahil private company naman?"
1463072266044919821,gawain ni struggail bumabalik na sa kanya TT QUINCY WITH JOHN ADAJAR,gawain ni struggail bumabalik na sa kanya tt quincy with john adajar.
1463080761544765441,Di ba we learn from her ;) QUINCY WITH JOHN ADAJAR,di'ba we learn from her;) quincy with john adajar.
1463092638001754115,tamah walang maleh ms. quincy 😭,tamah walang maleh ms. quincy.
1463079998944776196,Di ba nakakaramdam tong Tatay ng tutee ko na di ako natatawa sa mga Daddy Jokes niya HAHAHA.,di'ba nakakaramdam tong tatay ng tutee ko na di ako natatawa sa mga daddy jokes niya hahaha.
1463223386012717061,Bakit nandito pa ang mga ungas na rappler? Di ba kinansela na ng SEC ang lisensya nyo dahil mga fakenewsmaker kayo? Layas na kayo? Hindi namin kailangan ang media na bias kaya nga kulong mga kasamahan ninyo dahil sa fakenews na balita ninyo! Layas! Pweee!,bakit nandito pa ang mga ungas na rappler? di'ba kinansela na ng sec ang lisensya nyo dahil mga fakenewsmaker kayo? layas na kayo? hindi namin kailangan ang media na bias kaya nga kulong mga kasamahan ninyo dahil sa fakenews na balita ninyo! layas! pweee!
1463078981737979905,hala gagi kinuha akong ninang nung tomboy kong kaklase 😭😭😭😭,hala gagi kinuha akong ninang nung tomboy kong kaklase.
1463080459550617601,tomboy k din di ba,tomboy k din di'ba.
1463084052274049026,oo haha kilalanin mo binabangga mo.,oo haha kilalanin mo binabangga mo.
1463223004863746051,Sino ba ang nahnakaw kina Marcos? Ang AQUINO ang totoong nagnakaw sa kanila. Sila ang nagpasasa sa hindi kanila. WAG NGA KAYO TANGA! Manang mana kayo sa ina ninyo! Sayad sa lupa ang utak. Ipinagmamalaki ninyo? Ang talino di ba?,sino ba ang nahnakaw kina marcos? ang aquino ang totoong nagnakaw sa kanila. sila ang nagpasasa sa hindi kanila. wag nga kayo tanga! manang mana kayo sa ina ninyo! sayad sa lupa ang utak. ipinagmamalaki ninyo? ang talino di'ba?
1463079662033129472,DI BA KAYO KINAKABAHAN @OfficialMonstaX #몬스타엑스 #RushHour,di'ba kayo kinakabahan.
1463082514378104837,FEELING KO NATATAE NA KO SA KABA @OfficialMonstaX #몬스타엑스 #RushHour,feeling ko natatae na ko sa kaba.
1463058506676719619,hulaan niyo na lang kung ano yung tama sa fake profile ko 😔 HAHA,hulaan niyo na lang kung ano yung tama sa fake profile ko haha.
1463083154919415812,Buti pa siya may jowa na di ba hahahuhu,buti pa siya may jowa na di'ba hahahuhu.
1463219018165219330,Depende sa kanya kasi hindi niya sinubmit Fearless di ba haha,depende sa kanya kasi hindi niya sinubmit fearless di'ba haha.
1463206555143213057,"Guys! nakuha talaga,marunong umuwi si Steb pag 8pm kakain na sila e. Ibalik n'yo na, tatlo na mag bibigay ng reward please lang balik n'yo na 😭😭","guys! nakuha talaga,marunong umuwi si steb pag 8pm kakain na sila e. ibalik n'yo na, tatlo na mag bibigay ng reward please lang balik n'yo na."
1463233262482964482,Di ba pwede makita sa cctv?,di'ba pwede makita sa cctv?
1463245505031512074,Caris tu lo robas y si eso luego pides permiso.. jajaajj parodia👏👏👏 parodia 👏👏👏,caris tu lo robas why si eso luego pides permiso.. jajaajj parodia parodia.
1463051882922790917,"puro kayo dnb, ito naman :)","puro kayo dnb, ito naman."
1463083804151943168,Di ba uso move on sayo lods😭,di'ba uso move on sayo lods.
1463104475699187715,HINDI BEH MWUAPS,hindi beh mwuaps.
1463082090136686592,ano?? Bakit ano?? Di ba yon tao?? Nuyon aso??,ano?? bakit ano?? di'ba yon tao?? nuyon aso?
1463219913791664128,into the i-land nanaman? Haha di ba kayo nagsasawa? 'cause same 😔 i miss hanbin yawa #throwbacktuesday,into the i-land nanaman? haha di'ba kayo nagsasawa? 'cause same i miss hanbin yawa.
1463103825636589573,🤣🤣🤣 getz na kita orb...kaso are gonna make suko na ba? susuka pero never susuko!!! 👀😁,getz na kita are gonna make suko na ba? susuka pero never susuko!
1463243886306885633,what do you do ba when have makulog? we make putol it di ba? 👀🤣🤣🤣,what do you do ba when have makulog? we make putol it di'ba?
1463228509606670336,"Umorder ako sa Shopee ng dress, a plain rust-colored dress. Na add to cart ko siya and na checkout, meaning available yung product. Aba, pinalitan ba naman ng ibang klase kasi wala daw stock and di nagsabi sa akin hahahaha tama naman mainis ako di ba?🙃","umorder ako sa shopee ng dress, a plain rust-colored dress. na add to cart ko siya and na checkout, meaning available yung product. aba, pinalitan ba naman ng ibang klase kasi wala daw stock and di nagsabi sa akin hahahaha tama naman mainis ako di'ba?"
1463081607607115776,Di ba kapag mobile data iba iba ang ip address nun?,di'ba kapag mobile data iba iba ang ip address nun?
1463082453946359810,tama naman 'di ba laura este lola 😭😭😭,tama naman 'di'ba laura este lola.
1463021931507105802,morning mga aswang...ano nanngyari s usapan ntin ha...ngka linawan tlga tau....hahaha... @CulalaJennifer @CaePatricio @hazel_ometer @Meanne0315 @AngelikaTanola @MaeMugat #DeannaWong | Deanna Wong,morning mga nanngyari s usapan ntin linawan tlga. deanna wong.
1463039944184664064,bagsak kung bagsak hahaha,bagsak kung bagsak hahaha.
1463042707522146310,Ate hazel baka Naman palagay ng DT #DeannaWong | Deanna Wong,ate hazel baka naman palagay ng dt deanna wong.
1463044002307993607,sorry na bebe antok pa ksi #DeannaWong |deanna wong,sorry na bebe antok pa ksi deanna wong.
1463044676244623361,Matulog Ka kase haha . #DeannaWong | Deanna Wong,matulog ka kase haha. deanna wong.
1463048773421043712,sbi nga nila mapapagod peo nd susuko hahha anu connect,sbi nga nila mapapagod peo nd susuko hahha anu connect.
1463049539598708736,Hmmm ate hazel haha #DeannaWong | Deanna Wong,hmmm ate hazel haha deanna wong.
1463049869896077312,Wag tawa admin rufa ambag #DeannaWong| Deanna Wong,wag tawa admin rufa ambag deanna wong.
1463050145260392452,Kanina na ako umambag Saan ka Kasi kanina #DeannaWong | Deanna Wong,kanina na ako umambag saan ka kasi kanina deanna wong.
1463050433207934977,Nd ako ginising mg mga aswang eh,nd ako ginising mg mga aswang eh.
1463050849056280577,admin rufa si dela cruz ohh wla sia dt #DeannaWong |Deanna Wong,admin rufa si dela cruz ohh wla sia dt deanna wong.
1463053234537435136,Sumbong naman to kala mo bata lang #DEANNAWONG | Deanna Wong,sumbong naman to kala mo bata lang deanna wong.
1463061946274619393,Parang si Angie BA ? Parang grade one doc hahaha.. #DeannaWong | Deanna Wong,parang si angie ba? parang grade one doc hahaha.. deanna wong.
1463064394737270784,Ohh bat nasali ako sa usapan nyo hahaha kayo2 Lang walang damayan hahaha #DeannaWong | Deanna Wong,ohh bat nasali ako sa usapan nyo hahaha kayo2 lang walang damayan hahaha deanna wong.
1463065469812805633,ay iba angie sge mag mute ka ng notifications mo mag sisi ka pag nahuli ka snabi ko sau nd na mbblik ang ngyri na #DeannaWong |Deanna Wong,ay iba angie sge mag mute ka ng notifications mo mag sisi ka pag nahuli ka snabi ko sau nd na mbblik ang ngyri na deanna wong.
1463076091590057988,Wala naman Kasi akong alam sa topic nyu . Kaya tamang Basa Lang ako di pag sumingit ako na wala akong alam di sinabi nyu na naman na Lutang ako hahahaha . Kaya maigi na tamang BR and basa naLang oks na Yun #DeannaWong | Deanna Wong,wala naman kasi akong alam sa topic nyu. kaya tamang basa lang ako di pag sumingit ako na wala akong alam di sinabi nyu na naman na lutang ako hahahaha. kaya maigi na tamang br and basa nalang oks na yun deanna wong.
1463079811832852480,Jusko Di BA na briefing si Angie kagabi ate Dizon Yung Tayo nila doc ? Haha #DeannaWong | Deanna Wong,jusko di'ba na briefing si angie kagabi ate dizon yung tayo nila doc? haha deanna wong.
1463082197343162370,Wag ka umasa kay tinola masasaktam ka lang #DeannaWong | Deanna Wong,wag ka umasa kay tinola masasaktam ka lang deanna wong.
1463092296963051522,DBA pinag usaoan nten to kagabi doc ? Bkit ngayon walang alam hahaha. #DeannaWong | Deanna Wong,dba pinag usaoan nten to kagabi doc? bkit ngayon walang alam hahaha. deanna wong.
1463080831245860867,Kaya nga buti my excuse cxa....kahit nman sbihan ntin yan wla din....hahah #DeannaWong | Deanna Wong,kaya nga buti my excuse nman sbihan ntin yan wla deanna wong.
1463082625191587846,Kaya nga ahaha ! Kahit anung meeting gawen mo . Kinabukas wala Nanaman Alam haha #DeannaWong | Deanna Wong,kaya nga ahaha! kahit anung meeting gawen mo. kinabukas wala nanaman alam haha deanna wong.
1463204569819672576,Bkit lagi nominated tong oliv1a rodr1g0 na to pero bts hindi?????,bkit lagi nominated tong oliv1a rodr1g0 na to pero bts hindi?
1463204794865274887,Di ba!? 🤢🤢🐍🐍🐍,di'ba!?
1463081523910168579,ayy gagi di ba pwde she's doing great and may namimiss din? ano to,ayy gagi di'ba pwde she's doing great and may namimiss din? ano to.
1462982131454337028,Ito pala full version. Di ko alam kung bakit nacut huhu Basta ang funny yawa shdjdhsjd,ito pala full version. di ko alam kung bakit nacut huhu basta ang funny yawa.
1463081416208519172,Ang brainy di ba hahahaha,ang brainy di'ba hahahaha.
1463204326726266880,TANGINA TALAGA AKDUEJHSJWUSJAJA BOBO NG GRAMMYS AMPUTA DI BA KAYO MAALAM MAGSIDE STEP RIGHT LEFT TO MY BEAT,tangina talaga akduejhsjwusjaja bobo ng grammys amputa di'ba kayo maalam magside step right left to my beat.
1463244091362201600,Ung last na may ganto di ba natalo? So lam na this… 😂😂😂,ung last na may ganto di'ba natalo? so lam na this.
1463220262737006607,Will never for the life of me understand how the lions and cowboys monopolized that entire audience and no one in the league really seems to care,will never for the life of me understand how the lions and cowboys monopolized that entire audience and no one in the league really seems to care.
1463208943312781317,"Look whos on the side, si hakdog di ba","look whos on the side, si hakdog di'ba."
1463205228824576003,tAngina niyo di ba kayo mag rereply,tangina niyo di'ba kayo mag rereply.
1463208979832578057,TEKA MARE NATUTUWA AKO PAG NANALO BA ALBUM MO PANALO RIN ANG INANG NATEN @oliviarodrigo PAKISAGOT BHIE MARAMING SALAMAT. PINOY KA NAMAN DI BA #GRAMMYs,teka mare natutuwa ako pag nanalo ba album mo panalo rin ang inang naten pakisagot bhie maraming salamat. pinoy ka naman di'ba.
1463230452739702784,"O 'di ba kung kailan 'di na tayo nagkikita sa school saka mo'ko ichachat, kung kailan emotionally unavailable ako atm 🙂","o 'di'ba kung kailan 'di na tayo nagkikita sa school saka mo'ko ichachat, kung kailan emotionally unavailable ako atm."
1463081601395421187,ma sosyal update once a month for 10 months,ma sosyal update once a month for 10 months.
1463081675227746307,di ba ma hahaha worth it din pala,di'ba ma hahaha worth it din pala.
1463203424359444480,DI BA UNG IBA PINAPAKITA,di'ba ung iba pinapakita.
1463205062088347648,bakit puro kayo wtf di ba pwedeng wth naman🤕,bakit puro kayo wtf di'ba pwedeng wth naman.
1461677633041620996,ang gulo talaga sa totoo lang but your heart still saying OK lang.,ang gulo talaga sa totoo lang but your heart still saying ok lang.
1461910439869120524,Kaya pala si batugan back to war on drugs/ BBM and inaasikaso!!,kaya pala si batugan back to war on drugs bbm and inaasikaso!
1461945935844372490,Onsehan na🤣🤣🤣🤣🤣,onsehan na.
1462073822782230529,Pero pag ganito ba kandidato mo ikaw na matalino?. nagtatanong lang!,pero pag ganito ba kandidato mo ikaw na matalino?. nagtatanong lang!
1462199443357274114,"Hmmnnnnn...... haist.... akala ko talaga nanununog ka. Ayaw mo nyang meme ko ha. Sige, bigyan pa kita ng iba. Pwede na ba yan sa panlasa mo??🙄🙄🙄"," haist. akala ko talaga nanununog ka. ayaw mo nyang meme ko ha. sige, bigyan pa kita ng iba. pwede na ba yan sa panlasa mo?"
1462234101231013892,"Talagang sinabi eh,leni leave na🤣","talagang sinabi eh,leni leave na."
1463002386235281409,Witweeeeew! Dapat matagal na.,witweeeeew! dapat matagal na.
1463021974074978307,Mali ang mga intelligence mo po tatay Digs 😂 .. love u po 👊🏻🇵🇭 #BBMSARA wala ng iba p ✌🏻🇵🇭👊🏻,mali ang mga intelligence mo po tatay digs.. love ikaw po wala ng iba p.
1463025650370232320,NAGSUPSUP NA NAMAN SI BOY ADIK😂😂😂,nagsupsup na naman si boy adik.
1463082242990030848,"Kaya nga sabi ni Pres. Duterte dati di ba??Mga estupido mga yan kasi madaling magpapaniwala sa mga pakagat nya. Alam mo na, bobo is life ang motto nila. Kaya nga pati kandidato nila pambansang obob eh. 🤭🤭🤭","kaya nga sabi ni pres. duterte dati di'ba?? mga estupido mga yan kasi madaling magpapaniwala sa mga pakagat nya. alam mo na, bobo is life ang motto nila. kaya nga pati kandidato nila pambansang obob eh."
1463206339908235268,beli di ba mana kak wording nya KBL keren banget lhoo,beli di'ba mana kak wording nya kbl keren banget lhoo.
1463208511978934272,DI BA!!! Less gastos!! Hahahahahaha. May isa ako ngayong sisimulan but tingnan natin kung maganda. Bata uli ang bida hahahaha balitaan kita if maganda HAHAHAHAHAHA,di'ba! less gastos!! hahahahahaha. may isa ako ngayong sisimulan but tingnan natin kung maganda. bata uli ang bida hahahaha balitaan kita if maganda hahahahahaha.
1463082076664565760,HAHAHAHHAHAHAHA ganyan yan si juji pero siya talaga eme 🤣🤣,hahahahhahahaha ganyan yan si juji pero siya talaga eme.
1463082368344858625,di ba sa direksyon nya naamoy ni jihyun 😌 char HAHAHAHA LABYU JUJIIII KAHIT IKAW TALAGA YON,di'ba sa direksyon nya naamoy ni jihyun char hahahaha labyu jujiiii kahit ikaw talaga yon.
1463082870742814731,HHAHAHAHAHHHHA AMININ MO NA JUJI NORMAL LANG NAMAN UMUTOT 🤣🤣,aminin mo na juji normal lang naman umutot.
1463083022463471618,NASA GUBAT NAMAN DI MASYADO AMOY HAHAHHAHA,nasa gubat naman di masyado amoy hahahhaha.
1463202017510232064,di ba naman sumama loob mo pota kayo grammys,di'ba naman sumama loob mo pota kayo grammys.
1463205069596160002,badtrip padin umasa ako sa music video tapos dun sa last 3 categories wala pa sila ano yun? out of 7 isa lang di ba sila marunong tumingin mga takot lang ksi eh hays,badtrip padin umasa ako sa music video tapos dun sa last 3 categories wala pa sila ano yun? out of 7 isa lang di'ba sila marunong tumingin mga takot lang ksi eh hays.
1463196074613436417,Sana lahat ganito kabilis mag announce di ba,sana lahat ganito kabilis mag announce di'ba.
1463204808601440257,Ang sarap magsabi ng masasamang.. mga words 🥴,ang sarap magsabi ng masasamang.. mga words.
